template_key,product_name,volume_ml,category,price,variant_count,template_id
DDYS - Zen Haus (LIQ Salt)(30mL)|30.0,DDYS - Zen Haus (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.5,7,TPL_0120
DMVW - Geek Bar Digi Flavor BRK (Battery Only) (1000mAh)|nan,DMVW - Geek Bar Digi Flavor BRK (Battery Only) (1000mAh),,All / Saleable / Battery,6.33,1,TPL_0121
DMVW - Geek Bar Pulse (Dispo) (15000Puff)(16mL)|16.0,DMVW - Geek Bar Pulse (Dispo) (15000Puff)(16mL),16.0,All / Saleable / Disposable E-Cig,10.0,2,TPL_0122
DMVW - Hyde Edge Rave (Dispo) (4000Puff)(10mL)|10.0,DMVW - Hyde Edge Rave (Dispo) (4000Puff)(10mL),10.0,All / Saleable / Disposable E-Cig,0.95,1,TPL_0123
DMVW - Hyde Edge Recharge (Dispo) (3300Puff)(10mL)|10.0,DMVW - Hyde Edge Recharge (Dispo) (3300Puff)(10mL),10.0,All / Saleable / Disposable E-Cig,0.95,2,TPL_0124
DMVW - Hyde Mag (Dispo) (4500Puff)(10mL)|10.0,DMVW - Hyde Mag (Dispo) (4500Puff)(10mL),10.0,All / Saleable / Disposable E-Cig,0.95,1,TPL_0125
DMVW - RAZ LTX25000 (Dispo) (25000Puff)(16mL)|16.0,DMVW - RAZ LTX25000 (Dispo) (25000Puff)(16mL),16.0,All / Saleable / Disposable E-Cig,11.0,1,TPL_0126
DMVW - RAZ LTX25000 Zero (Dispo) (25000Puff)(16mL)|16.0,DMVW - RAZ LTX25000 Zero (Dispo) (25000Puff)(16mL),16.0,All / Saleable / Disposable E-Cig,9.5,5,TPL_0127
DMVW - RYL (Dispo)(35000Puff)(16.5mL) Spring Collection|nan,DMVW - RYL (Dispo)(35000Puff)(16.5mL) Spring Collection,,All / Saleable / Disposable E-Cig,11.0,2,TPL_0128
DMVW - RYL Classic (Dispo) (35000Puff)(16.5mL)|nan,DMVW - RYL Classic (Dispo) (35000Puff)(16.5mL),,All / Saleable / Disposable E-Cig,11.0,1,TPL_0129
DMVW - Viho Super Charge Pro (Dispo) (20000Puff)(21mL)|21.0,DMVW - Viho Super Charge Pro (Dispo) (20000Puff)(21mL),21.0,All / Saleable / Disposable E-Cig,9.0,1,TPL_0130
DMVW - Viho Turbo (Dispo) (10000Puff)(17mL) Chrome Edt.|17.0,DMVW - Viho Turbo (Dispo) (10000Puff)(17mL) Chrome Edt.,17.0,All / Saleable / Disposable E-Cig,4.95,1,TPL_0131
DMVW - Viho Turbo (Dispo) (10000Puff)(17mL) Galaxy Edt.|17.0,DMVW - Viho Turbo (Dispo) (10000Puff)(17mL) Galaxy Edt.,17.0,All / Saleable / Disposable E-Cig,4.95,1,TPL_0132
DMVW - Viho Turbo (Dispo) (10000Puff)(17mL) Satin Edt.|17.0,DMVW - Viho Turbo (Dispo) (10000Puff)(17mL) Satin Edt.,17.0,All / Saleable / Disposable E-Cig,4.95,3,TPL_0133
DMVW - Viho Turbo (Dispo) (10000Puff)(17mL)|17.0,DMVW - Viho Turbo (Dispo) (10000Puff)(17mL),17.0,All / Saleable / Disposable E-Cig,4.95,1,TPL_0134
DOTM - Dotmod DotPod Plus (Pods)(2-Pack) 3mL|nan,DOTM - Dotmod DotPod Plus (Pods)(2-Pack) 3mL,,All / Saleable / Replacement Pod,3.3,2,TPL_0135
DOTM - Dotmod Dotstick (Coils)(5-Pack)|nan,DOTM - Dotmod Dotstick (Coils)(5-Pack),,All / Saleable / Coil,4.95,1,TPL_0136
DRLY - Dinner Lady (LIQ FB)(100mL) TF-Nic|100.0,DRLY - Dinner Lady (LIQ FB)(100mL) TF-Nic,100.0,All / Saleable / E-Juice,6.25,12,TPL_0137
DRLY - Dinner Lady (LIQ Salt)(30mL) TF-Nic|30.0,DRLY - Dinner Lady (LIQ Salt)(30mL) TF-Nic,30.0,All / Saleable / E-Juice,6.25,7,TPL_0138
DRLY - Fuyl (LIQ FB)(100mL)|100.0,DRLY - Fuyl (LIQ FB)(100mL),100.0,All / Saleable / E-Juice,4.95,10,TPL_0139
DRLY - Fuyl (LIQ Salt)(30mL)|30.0,DRLY - Fuyl (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,4.95,4,TPL_0140
DRPM - Candy King (LIQ FB)(100mL) Cookie King|100.0,DRPM - Candy King (LIQ FB)(100mL) Cookie King,100.0,All / Saleable / E-Juice,6.0,7,TPL_0141
DRPM - Candy King (LIQ FB)(100mL)|100.0,DRPM - Candy King (LIQ FB)(100mL),100.0,All / Saleable / E-Juice,6.0,1,TPL_0142
DRPM - Candy King (LIQ Salt)(30mL)|30.0,DRPM - Candy King (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,4.933333333333334,9,TPL_0143
DTRW - Death Row Vapes (Dispo) (5000Puff)(10.5mL)|nan,DTRW - Death Row Vapes (Dispo) (5000Puff)(10.5mL),,All / Saleable / Disposable E-Cig,1.95,1,TPL_0144
DVDT - All Star Vape Disposable (30000Puff)(19mL)|19.0,DVDT - All Star Vape Disposable (30000Puff)(19mL),19.0,All / Saleable / Disposable E-Cig,4.95,8,TPL_0145
